Date,Confirmed
2020-02-27,0
2020-02-28,1
2020-02-29,1
2020-03-01,2
2020-03-02,8
2020-03-03,5
2020-03-04,13
2020-03-05,9
2020-03-06,8
2020-03-07,6
2020-03-08,6
2020-03-09,9
2020-03-10,13
2020-03-11,24
2020-03-12,16
2020-03-13,20
2020-03-14,24
2020-03-15,20
2020-03-16,20
2020-03-17,52
2020-03-18,76
2020-03-19,75
2020-03-20,58
2020-03-21,92
2020-03-22,22
2020-03-23,67
2020-03-24,106
2020-03-25,41
2020-03-26,87
2020-03-27,69
2020-03-28,56
2020-03-29,66
2020-03-30,49
2020-03-31,85
2020-04-01,99
2020-04-02,45
2020-04-03,54
2020-04-04,70
2020-04-05,74
2020-04-06,24
2020-04-07,30
2020-04-08,32
2020-04-09,27
2020-04-10,14
2020-04-11,12
2020-04-12,10
