Month,Year,Month_and_Year,Municipality,SVEITARFEL,Unemployment_Rate
Jan,2020,Jan 2020,Akrahreppur,Akrahreppur,1.85%
Feb,2020,Feb 2020,Akrahreppur,Akrahreppur,2.78%
Mar,2020,Mar 2020,Akrahreppur,Akrahreppur,5.56%
Jan,2020,Jan 2020,Akranes,Akraneskaupstaður,3.73%
Feb,2020,Feb 2020,Akranes,Akraneskaupstaður,3.53%
Mar,2020,Mar 2020,Akranes,Akraneskaupstaður,4.91%
Jan,2020,Jan 2020,Akureyri,Akureyrarkaupstaður,4.42%
Feb,2020,Feb 2020,Akureyri,Akureyrarkaupstaður,4.60%
Mar,2020,Mar 2020,Akureyri,Akureyrarkaupstaður,6.42%
Jan,2020,Jan 2020,Árneshreppur,Árneshreppur,8.33%
Feb,2020,Feb 2020,Árneshreppur,Árneshreppur,4.17%
Mar,2020,Mar 2020,Árneshreppur,Árneshreppur,4.17%
Jan,2020,Jan 2020,Ásahreppur,Ásahreppur,1.32%
Feb,2020,Feb 2020,Ásahreppur,Ásahreppur,1.32%
Mar,2020,Mar 2020,Ásahreppur,Ásahreppur,4.61%
Jan,2020,Jan 2020,Bláskógabyggð,Bláskógabyggð,2.91%
Feb,2020,Feb 2020,Bláskógabyggð,Bláskógabyggð,2.77%
Mar,2020,Mar 2020,Bláskógabyggð,Bláskógabyggð,9.24%
Jan,2020,Jan 2020,Blönduósbær,Blönduósbær,0.84%
Feb,2020,Feb 2020,Blönduósbær,Blönduósbær,0.84%
Mar,2020,Mar 2020,Blönduósbær,Blönduósbær,2.73%
Jan,2020,Jan 2020,Bolungarvík,Bolungarvíkurkaupstaður,1.11%
Feb,2020,Feb 2020,Bolungarvík,Bolungarvíkurkaupstaður,1.48%
Mar,2020,Mar 2020,Bolungarvík,Bolungarvíkurkaupstaður,3.15%
Jan,2020,Jan 2020,Borgarbyggð,Borgarbyggð,2.61%
Feb,2020,Feb 2020,Borgarbyggð,Borgarbyggð,2.52%
Mar,2020,Mar 2020,Borgarbyggð,Borgarbyggð,4.35%
Jan,2020,Jan 2020,Borgarfjarðarhreppur,Borgarfjarðarhreppur,3.49%
Feb,2020,Feb 2020,Borgarfjarðarhreppur,Borgarfjarðarhreppur,1.15%
Mar,2020,Mar 2020,Borgarfjarðarhreppur,Borgarfjarðarhreppur,6.82%
Jan,2020,Jan 2020,Dalabyggð,Dalabyggð,2.35%
Feb,2020,Feb 2020,Dalabyggð,Dalabyggð,2.36%
Mar,2020,Mar 2020,Dalabyggð,Dalabyggð,4.73%
Jan,2020,Jan 2020,Dalvíkurbyggð,Dalvíkurbyggð,2.46%
Feb,2020,Feb 2020,Dalvíkurbyggð,Dalvíkurbyggð,2.55%
Mar,2020,Mar 2020,Dalvíkurbyggð,Dalvíkurbyggð,5.10%
Jan,2020,Jan 2020,Djúpavogshreppur,Djúpavogshreppur,3.96%
Feb,2020,Feb 2020,Djúpavogshreppur,Djúpavogshreppur,2.85%
Mar,2020,Mar 2020,Djúpavogshreppur,Djúpavogshreppur,6.03%
Jan,2020,Jan 2020,Eyja- og Miklaholtshreppur,Eyja- og Miklaholtshreppur,14.93%
Feb,2020,Feb 2020,Eyja- og Miklaholtshreppur,Eyja- og Miklaholtshreppur,14.93%
Mar,2020,Mar 2020,Eyja- og Miklaholtshreppur,Eyja- og Miklaholtshreppur,16.42%
Jan,2020,Jan 2020,Eyjafjarðarsveit,Eyjafjarðarsveit,3.39%
Feb,2020,Feb 2020,Eyjafjarðarsveit,Eyjafjarðarsveit,3.74%
Mar,2020,Mar 2020,Eyjafjarðarsveit,Eyjafjarðarsveit,4.93%
Jan,2020,Jan 2020,Fjallabyggð,Fjallabyggð,5.02%
Feb,2020,Feb 2020,Fjallabyggð,Fjallabyggð,5.21%
Mar,2020,Mar 2020,Fjallabyggð,Fjallabyggð,6.39%
Jan,2020,Jan 2020,Fjarðabyggð,Fjarðabyggð,3.65%
Feb,2020,Feb 2020,Fjarðabyggð,Fjarðabyggð,3.30%
Mar,2020,Mar 2020,Fjarðabyggð,Fjarðabyggð,4.05%
Jan,2020,Jan 2020,Fljótsdalshérað,Fljótsdalshérað,1.57%
Feb,2020,Feb 2020,Fljótsdalshérað,Fljótsdalshérað,1.77%
Mar,2020,Mar 2020,Fljótsdalshérað,Fljótsdalshérað,2.93%
Jan,2020,Jan 2020,Fljótsdalshreppur,Fljótsdalshreppur,3.08%
Feb,2020,Feb 2020,Fljótsdalshreppur,Fljótsdalshreppur,1.52%
Mar,2020,Mar 2020,Fljótsdalshreppur,Fljótsdalshreppur,1.52%
Jan,2020,Jan 2020,Flóahreppur,Flóahreppur,1.31%
Feb,2020,Feb 2020,Flóahreppur,Flóahreppur,1.56%
Mar,2020,Mar 2020,Flóahreppur,Flóahreppur,3.65%
Jan,2020,Jan 2020,Garðabær,Garðabær,3.17%
Feb,2020,Feb 2020,Garðabær,Garðabær,3.16%
Mar,2020,Mar 2020,Garðabær,Garðabær,5.11%
Jan,2020,Jan 2020,Grímsnes- og Grafningshreppur,Grímsnes- og Grafningshreppur,3.23%
Feb,2020,Feb 2020,Grímsnes- og Grafningshreppur,Grímsnes- og Grafningshreppur,3.55%
Mar,2020,Mar 2020,Grímsnes- og Grafningshreppur,Grímsnes- og Grafningshreppur,6.45%
Jan,2020,Jan 2020,Grindavíkurbær,Grindavíkurbær,4.26%
Feb,2020,Feb 2020,Grindavíkurbær,Grindavíkurbær,4.25%
Mar,2020,Mar 2020,Grindavíkurbær,Grindavíkurbær,6.10%
Jan,2020,Jan 2020,Grundarfjarðarbær,Grundarfjarðarbær,2.74%
Feb,2020,Feb 2020,Grundarfjarðarbær,Grundarfjarðarbær,2.54%
Mar,2020,Mar 2020,Grundarfjarðarbær,Grundarfjarðarbær,5.27%
Jan,2020,Jan 2020,Grýtubakkahreppur,Grýtubakkahreppur,2.08%
Feb,2020,Feb 2020,Grýtubakkahreppur,Grýtubakkahreppur,2.08%
Mar,2020,Mar 2020,Grýtubakkahreppur,Grýtubakkahreppur,2.60%
Jan,2020,Jan 2020,Hafnarfjarðarkaupstaður,Hafnarfjarðarbær,4.17%
Feb,2020,Feb 2020,Hafnarfjarðarkaupstaður,Hafnarfjarðarbær,4.19%
Mar,2020,Mar 2020,Hafnarfjarðarkaupstaður,Hafnarfjarðarbær,6.24%
Jan,2020,Jan 2020,Helgafellssveit,Helgafellssveit,0.00%
Feb,2020,Feb 2020,Helgafellssveit,Helgafellssveit,0.00%
Mar,2020,Mar 2020,Helgafellssveit,Helgafellssveit,0.00%
Jan,2020,Jan 2020,Hörgársveit,Hörgársveit,5.31%
Feb,2020,Feb 2020,Hörgársveit,Hörgársveit,5.85%
Mar,2020,Mar 2020,Hörgársveit,Hörgársveit,8.61%
Jan,2020,Jan 2020,Hrunamannahreppur,Hrunamannahreppur,4.23%
Feb,2020,Feb 2020,Hrunamannahreppur,Hrunamannahreppur,4.42%
Mar,2020,Mar 2020,Hrunamannahreppur,Hrunamannahreppur,6.60%
Jan,2020,Jan 2020,Húnavatnshreppur,Húnavatnshreppur,0.90%
Feb,2020,Feb 2020,Húnavatnshreppur,Húnavatnshreppur,0.90%
Mar,2020,Mar 2020,Húnavatnshreppur,Húnavatnshreppur,0.45%
Jan,2020,Jan 2020,Húnaþing vestra,Húnaþing Vestra,3.59%
Feb,2020,Feb 2020,Húnaþing vestra,Húnaþing Vestra,3.59%
Mar,2020,Mar 2020,Húnaþing vestra,Húnaþing Vestra,5.23%
Jan,2020,Jan 2020,Hvalfjarðarsveit,Hvalfjarðarsveit,1.85%
Feb,2020,Feb 2020,Hvalfjarðarsveit,Hvalfjarðarsveit,1.85%
Mar,2020,Mar 2020,Hvalfjarðarsveit,Hvalfjarðarsveit,3.16%
Jan,2020,Jan 2020,Hveragerði,Hveragerðisbær,2.76%
Feb,2020,Feb 2020,Hveragerði,Hveragerðisbær,2.96%
Mar,2020,Mar 2020,Hveragerði,Hveragerðisbær,6.31%
Jan,2020,Jan 2020,Ísafjarðarbær,Ísafjarðarbær,3.80%
Feb,2020,Feb 2020,Ísafjarðarbær,Ísafjarðarbær,3.52%
Mar,2020,Mar 2020,Ísafjarðarbær,Ísafjarðarbær,5.00%
Jan,2020,Jan 2020,Kaldrananeshreppur,Kaldrananeshreppur,1.39%
Feb,2020,Feb 2020,Kaldrananeshreppur,Kaldrananeshreppur,1.39%
Mar,2020,Mar 2020,Kaldrananeshreppur,Kaldrananeshreppur,2.78%
Jan,2020,Jan 2020,Kjósarhreppur,Kjósarhreppur,5.33%
Feb,2020,Feb 2020,Kjósarhreppur,Kjósarhreppur,4.00%
Mar,2020,Mar 2020,Kjósarhreppur,Kjósarhreppur,4.00%
Jan,2020,Jan 2020,Kópavogsbær,Kópavogsbær,4.17%
Feb,2020,Feb 2020,Kópavogsbær,Kópavogsbær,4.20%
Mar,2020,Mar 2020,Kópavogsbær,Kópavogsbær,6.15%
Jan,2020,Jan 2020,Langanesbyggð,Langanesbyggð,12.11%
Feb,2020,Feb 2020,Langanesbyggð,Langanesbyggð,10.42%
Mar,2020,Mar 2020,Langanesbyggð,Langanesbyggð,9.38%
Jan,2020,Jan 2020,Mosfellsbær,Mosfellsbær,3.60%
Feb,2020,Feb 2020,Mosfellsbær,Mosfellsbær,3.81%
Mar,2020,Mar 2020,Mosfellsbær,Mosfellsbær,5.78%
Jan,2020,Jan 2020,Mýrdalshreppur,Mýrdalshreppur,4.08%
Feb,2020,Feb 2020,Mýrdalshreppur,Mýrdalshreppur,4.27%
Mar,2020,Mar 2020,Mýrdalshreppur,Mýrdalshreppur,10.00%
Jan,2020,Jan 2020,Norðurþing,Norðurþing,4.81%
Feb,2020,Feb 2020,Norðurþing,Norðurþing,4.54%
Mar,2020,Mar 2020,Norðurþing,Norðurþing,6.66%
Jan,2020,Jan 2020,Rangárþing eystra,Rangárþing eystra,3.35%
Feb,2020,Feb 2020,Rangárþing eystra,Rangárþing eystra,3.35%
Mar,2020,Mar 2020,Rangárþing eystra,Rangárþing eystra,7.82%
Jan,2020,Jan 2020,Rangárþing ytra,Rangárþing ytra,2.77%
Feb,2020,Feb 2020,Rangárþing ytra,Rangárþing ytra,3.18%
Mar,2020,Mar 2020,Rangárþing ytra,Rangárþing ytra,5.54%
Jan,2020,Jan 2020,Reykhólahreppur,Reykhólahreppur,2.33%
Feb,2020,Feb 2020,Reykhólahreppur,Reykhólahreppur,2.33%
Mar,2020,Mar 2020,Reykhólahreppur,Reykhólahreppur,3.85%
Jan,2020,Jan 2020,Reykjanesbær,Reykjanesbær,9.65%
Feb,2020,Feb 2020,Reykjanesbær,Reykjanesbær,9.44%
Mar,2020,Mar 2020,Reykjanesbær,Reykjanesbær,11.90%
Jan,2020,Jan 2020,Reykjavíkurborg,Reykjavíkurborg,5.03%
Feb,2020,Feb 2020,Reykjavíkurborg,Reykjavíkurborg,5.21%
Mar,2020,Mar 2020,Reykjavíkurborg,Reykjavíkurborg,7.49%
Jan,2020,Jan 2020,Seltjarnarneskaupstaður,Seltjarnarneskaupstaður,3.56%
Feb,2020,Feb 2020,Seltjarnarneskaupstaður,Seltjarnarneskaupstaður,3.60%
Mar,2020,Mar 2020,Seltjarnarneskaupstaður,Seltjarnarneskaupstaður,5.59%
Jan,2020,Jan 2020,Seyðisfjörður,Seyðisfjarðarkaupstaður,1.75%
Feb,2020,Feb 2020,Seyðisfjörður,Seyðisfjarðarkaupstaður,1.75%
Mar,2020,Mar 2020,Seyðisfjörður,Seyðisfjarðarkaupstaður,3.76%
Jan,2020,Jan 2020,Skaftárhreppur,Skaftárhreppur,3.39%
Feb,2020,Feb 2020,Skaftárhreppur,Skaftárhreppur,3.64%
Mar,2020,Mar 2020,Skaftárhreppur,Skaftárhreppur,7.99%
Jan,2020,Jan 2020,Skagabyggð,Skagabyggð,4.17%
Feb,2020,Feb 2020,Skagabyggð,Skagabyggð,4.17%
Mar,2020,Mar 2020,Skagabyggð,Skagabyggð,6.25%
Jan,2020,Jan 2020,Skeiða- og Gnúpverjahreppur,Skeiða- og Gnúpverjahreppur,2.49%
Feb,2020,Feb 2020,Skeiða- og Gnúpverjahreppur,Skeiða- og Gnúpverjahreppur,2.23%
Mar,2020,Mar 2020,Skeiða- og Gnúpverjahreppur,Skeiða- og Gnúpverjahreppur,3.37%
Jan,2020,Jan 2020,Skorradalshreppur,Skorradalshreppur,0.00%
Feb,2020,Feb 2020,Skorradalshreppur,Skorradalshreppur,0.00%
Mar,2020,Mar 2020,Skorradalshreppur,Skorradalshreppur,2.78%
Jan,2020,Jan 2020,Skútustaðahreppur,Skútustaðahreppur,6.65%
Feb,2020,Feb 2020,Skútustaðahreppur,Skútustaðahreppur,6.04%
Mar,2020,Mar 2020,Skútustaðahreppur,Skútustaðahreppur,11.48%
Jan,2020,Jan 2020,Snæfellsbær,Snæfellsbær,2.58%
Feb,2020,Feb 2020,Snæfellsbær,Snæfellsbær,2.27%
Mar,2020,Mar 2020,Snæfellsbær,Snæfellsbær,4.55%
Jan,2020,Jan 2020,Strandabyggð,Strandabyggð,3.92%
Feb,2020,Feb 2020,Strandabyggð,Strandabyggð,3.50%
Mar,2020,Mar 2020,Strandabyggð,Strandabyggð,4.28%
Jan,2020,Jan 2020,Stykkishólmur,Stykkishólmsbær,1.95%
Feb,2020,Feb 2020,Stykkishólmur,Stykkishólmsbær,1.80%
Mar,2020,Mar 2020,Stykkishólmur,Stykkishólmsbær,3.90%
Jan,2020,Jan 2020,Súðavíkurhreppur,Súðavíkurhreppur,2.33%
Feb,2020,Feb 2020,Súðavíkurhreppur,Súðavíkurhreppur,1.54%
Mar,2020,Mar 2020,Súðavíkurhreppur,Súðavíkurhreppur,3.85%
Jan,2020,Jan 2020,Suðurnesjabær,Suðurnesjabær,8.16%
Feb,2020,Feb 2020,Suðurnesjabær,Suðurnesjabær,8.68%
Mar,2020,Mar 2020,Suðurnesjabær,Suðurnesjabær,10.02%
Jan,2020,Jan 2020,Svalbarðastrandahreppur,Svalbarðsstrandarhreppur,2.36%
